epoch,accuracy,loss,val_accuracy,val_loss
0,0.3479103147983551,1.339550495147705,0.41786742210388184,1.3033509254455566
1,0.6360365152359009,1.009840965270996,0.6426513195037842,0.9403001666069031
2,0.794353723526001,0.5784077644348145,0.6916426420211792,0.8037768006324768
3,0.8444505929946899,0.4110665023326874,0.680115282535553,0.822359025478363
4,0.8815388679504395,0.3234444260597229,0.6858789920806885,0.83760666847229
5,0.9078328013420105,0.2585436701774597,0.6685879230499268,0.9212984442710876
6,0.9302518963813782,0.2149122655391693,0.6772334575653076,0.9780675172805786
7,0.9468585848808289,0.1752316802740097,0.6657060384750366,1.0495063066482544
8,0.952117383480072,0.1541822850704193,0.6743515729904175,1.1033722162246704
9,0.9601439237594604,0.1331346333026886,0.6772334575653076,1.1380267143249512
10,0.9645723700523376,0.11877205222845078,0.6657060384750366,1.2474020719528198
11,0.9673401713371277,0.10979462414979935,0.6628242135047913,1.2624902725219727
12,0.971491813659668,0.09775927662849426,0.6628242135047913,1.327787160873413
13,0.9723221659660339,0.0888805091381073,0.6657060384750366,1.3554576635360718
14,0.973706066608429,0.08710367977619171,0.6685879230499268,1.375754475593567
15,0.975089967250824,0.07960222661495209,0.6628242135047913,1.4447107315063477
16,0.9753667116165161,0.07471945881843567,0.6628242135047913,1.500020980834961
17,0.9745364189147949,0.07143370062112808,0.680115282535553,1.5087368488311768
18,0.975089967250824,0.07288389652967453,0.6829971075057983,1.5235761404037476
19,0.9761970639228821,0.06908668577671051,0.6685879230499268,1.5585311651229858
20,0.9778577089309692,0.06634174287319183,0.6714697480201721,1.5856797695159912
21,0.9784113168716431,0.06937337666749954,0.6628242135047913,1.6241480112075806
22,0.9778577089309692,0.06563951820135117,0.6743515729904175,1.6049572229385376
23,0.9789648652076721,0.06233970820903778,0.680115282535553,1.6355105638504028
24,0.977027416229248,0.06123143434524536,0.6685879230499268,1.6681386232376099
